fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
04/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,48.52,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
06/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,40.13,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
10/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,51.36,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
14/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,57.2,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
17/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,35.41,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
19/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,40.53,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
21/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,51.36,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
23/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,35.87,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
25/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,46.8,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
27/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,41.65,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
29/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,54.89,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
31/01/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,48.65,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
01/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,46.51,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
03/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,48.69,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
05/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,51.74,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
10/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,39.86,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
13/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,47.55,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
17/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,50.02,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
19/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,38.59,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
22/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,34.6,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
24/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,42.85,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
26/02/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,35.11,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
01/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,37.06,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
03/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,40.42,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
05/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,36.75,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
10/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,39.31,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
13/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,47.62,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
