fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
01/07/2016 01:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 02:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 03:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 04:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 05:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 06:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 07:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 08:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 09:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 10:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 11:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 12:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 01:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 02:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 03:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 04:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 05:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 06:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 07:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 08:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 09:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 10:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
01/07/2016 11:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1.0,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
